Zpid,BuildingType,CalendarYear built,HeatingHeating,SnowflakeCooling,ParkingParking,HOAHOA,Price Square FeetPrice/sqft,Bedrooms,Bathrooms,Full bathrooms,Features,Flooring,Heating features,Cooling features,Laundry features,Interior features,Total structure area,Total interior livable area,Total number of fireplaces,Fireplace features,Total spaces,Parking features,Garage spaces,Covered spaces,Levels,Stories,Pool features,Exterior features,Lot features,Special conditions,Home type,Architectural style,Property subType,Construction materials,Roof,Property condition,New construction,Year built,Electric information,Water information,Region,Subdivision,HOA fee,Amenities included,Services included,Association name,Association phone,Price Range,Listing Terms,Appliances included,Patio and porch details,Sewer information,Security features,Window features,Accessibility features,View description,Builder name,Entry location
24856612,Detached,1929,Natural Gas,None,1 Garage space,,$680,2,2,1," Counter - Solid Surface, Garbage Disposal, Gas Range/Cooktop, Refrigerator, Updated Kitchen"," Hardwood, Tile",Natural Gas,None,Inside," Counter - Solid Surface, Updated Kitchen"," 1,758"," 1,758 sqft",1,Gas,1," Converted Garage, Detached, Off Street",1,1,Two Story,2,None," Front Yard, Backyard"," Level, Front Yard",Standard,SingleFamily,Tudor,Detached,Stucco,Wood,Existing,No,1929,No Solar,,Alameda,EAST END,,,,,,$1.2M - $1.2M," Cash,Conventional"," Gas Water Heater, Disposal, Gas Range, Refrigerator",,Public Sewer," Carbon Monoxide Detector(s), Smoke Detector(s)",,,,,
24872381,Detached,1989,Forced Air,None,2 Attached Garage spaces,$225 monthly,$747,2,3,2," Counter - Solid Surface, Dishwasher, Electric Range/Cooktop, Pantry, Range/Oven Built-in"," Carpet, Wood",Forced Air,None," Dryer, In Garage, Washer"," Counter - Solid Surface, Pantry, Dining Area"," 1,198"," 1,198 sqft",1,Living Room,2," Attached, Int Access From Garage",2,2,Two Story,2," In Ground, Pool Cover",Back Yard,Level,Standard,SingleFamily,Contemporary,Detached,Lap Siding,Unknown,Existing,No,1989,Solar Unknown,Public,Alameda,NORMANDY,$225 monthly," Greenbelt, Pool"," Common Area Maint, Management Fee, Reserves",NOT LISTED,800-922-1106,$895K - $895K," Cash,Conventional"," Dryer, Washer, Dishwasher, Electric Range, Range",Deck,Public Sewer,,,,,,
24860931,Detached,1912,Natural Gas,None,Off Street,,$838,3,2,1," Dishwasher, Eat In Kitchen",Hardwood,Natural Gas,None," Dryer, Washer",Eat-in Kitchen," 1,426"," 1,426 sqft",2,Family Room,,Off Street,,,Two Story,2,None,Back Yard,Level,Standard,SingleFamily,Craftsman,Detached,Wood Siding,Unknown,Existing,No,1912,Solar Unknown,,Alameda,ALAMEDA,,,,,,$1.2M - $1.2M,Conventional," Dryer, Washer, Dishwasher",,Public Sewer,,,,,,
2069325896,Townhouse,2021,No Data,No Data,0 spaces,,$525,5,5,4,,,,,,,," 3,332 sqft",,,,,,,,,,,,,Townhouse,,,,,,Yes,,,,Alameda,,,,,,,,,,,,,,,,Trumark Homes,
2071614817,Condo,2021,No Data,No Data,2 Parking spaces,,$675,2,3,2,,,,,,,," 1,298 sqft",,,2,"",,,,,,,,,Condo,,,,,,Yes,,,,Alameda,,,,,,,,,,,,,,,,Pulte Homes,
111390220,Duet,1964,"Forced Air, Fireplace Insert",None,2 Attached Garage spaces,$824 annually,$645,3,3,2," Counter - Stone, Dishwasher, Garbage Disposal, Gas Range/Cooktop, Microwave, Range/Oven Free Standing, Refrigerator, Updated Kitchen"," Tile, Wood"," Forced Air, Fireplace Insert",None," Dryer, In Garage, Washer"," Stone Counters, Updated Kitchen"," 1,780"," 1,780 sqft",1," Brick, Insert, Living Room",2," Attached, Off Street",2,2,Two Story,2,None," Back Yard, Front Yard, Side Yard, Landscape Front, Dock",Landscape Front,Standard,SingleFamily,Contemporary,Duet," Stucco, Wood Shingles, Wood Siding",Other,Existing,No,1964,No Solar,Public,Alameda,BAYVIEW ESTATES,$824 annually,Other," Management Fee, Reserves, Other",ALAMEDA WEST LAGOON,510-888-8965,$1.1M - $1.1M," Cash,Conventional,1031 Exchange,FHA"," Dryer, Washer, Gas Water Heater, Dishwasher, Disposal, Gas Range, Microwave, Free-Standing Range, Refrigerator",,Public Sewer," Carbon Monoxide Detector(s), Smoke Detector(s)",,None,Water,,No Steps to Entry
2071593635,Condo,2021,No Data,No Data,0 spaces,,$677,2,4,3,,,,,,,," 1,448 sqft",,,,,,,,,,,,,Condo,,,,,,Yes,,,,Alameda,,,,,,,,,,,,,,,,Trumark Homes,
24857078,Detached,1909,Forced Air,None,2 Garage spaces,,$666,4,2,2," Dishwasher, Eat In Kitchen, Garbage Disposal, Gas Range/Cooktop, Microwave, Refrigerator, Updated Kitchen"," Laminate, Tile, Wood",Forced Air,None," Dryer, Washer, Washer/Dryer Stacked Incl"," Eat-in Kitchen, Updated Kitchen, Utility Room"," 1,800"," 1,800 sqft",1," Brick, Living Room",2," Garage Door Opener, Detached, Off Street, Side Yard Access, Workshop in Garage",2,2,Two Story,2,None," Back Yard, Garden/Play, Landscape Back, Landscape Front",Regular,Standard,SingleFamily,Other,Detached," Composition Shingles, Wood Shingles",Composition Shingles,Existing,No,1909,No Solar,Public,Alameda,EAST END,,,,,,$1.2M - $1.2M," Cash,Conventional,FHA"," Dryer, Washer, Tankless Water Heater, Dishwasher, Disposal, Gas Range, Microwave, Refrigerator",Patio,Public Sewer,Smoke Detector(s)," Double Pane Windows, Window Coverings",None,,,
2071593634,Condo,2021,No Data,No Data,0 spaces,,$538,3,4,3,,,,,,,," 2,442 sqft",,,,,,,,,,,,,Condo,,,,,,Yes,,,,Alameda,,,,,,,,,,,,,,,,Trumark Homes,
2071614819,Townhouse,2021,No Data,No Data,1 Parking space,,$786,1,2,1,,,,,,,," 1,000 sqft",,,1,"",,,,,,,,,Townhouse,,,,,,Yes,,,,Alameda,,,,,,,,,,,,,,,,Pulte Homes,
2071614814,Townhouse,2021,No Data,No Data,1 Parking space,,$750,2,2,1,,,,,,,," 1,102 sqft",,,1,"",,,,,,,,,Townhouse,,,,,,Yes,,,,Alameda,,,,,,,,,,,,,,,,Pulte Homes,
24870636,Detached,1987,"Zoned, Natural Gas",None,2 Attached Garage spaces,$222 monthly,$793,4,3,2," Breakfast Nook, Counter - Solid Surface, Dishwasher, Electric Range/Cooktop, Garbage Disposal, Island, Microwave, Oven Built-in, Pantry, Refrigerator, Self-Cleaning Oven"," Hardwood, Tile, Carpet, Other"," Zoned, Natural Gas",None," Hookups Only, Laundry Room, Electric"," Breakfast Nook, Counter - Solid Surface, Kitchen Island, Pantry, Family Room, Formal Dining Room, Kitchen/Family Combo, Utility Room"," 2,256"," 2,256 sqft",1," Gas Starter, Living Room, Stone, Wood Burning",2," Attached, Garage, Int Access From Garage",2,2,Two Story,2,None," Back Yard, Front Yard, Side Yard, Sprinklers Automatic, Landscape Back, Landscape Front"," Level, Regular",Standard,SingleFamily,Contemporary,Detached,Wood Shingles,Composition Shingles,Existing,No,1987,No Solar,Public,Alameda,HARBOR BAY,$222 monthly,Greenbelt," Common Area Maint, Management Fee, Reserves",NOT LISTED,510-865-3363,$1.8M - $1.8M," Cash,Conventional"," Gas Water Heater, Dishwasher, Electric Range, Disposal, Microwave, Oven, Refrigerator, Self Cleaning Oven",,Public Sewer," Security Alarm - Owned, Carbon Monoxide Detector(s), Double Strapped Water Heater, Smoke Detector(s)",,,,,
2071614825,Condo,2021,No Data,No Data,2 Parking spaces,,$596,2,2,2,,,,,,,," 1,553 sqft",,,2,"",,,,,,,,,Condo,,,,,,Yes,,,,Alameda,,,,,,,,,,,,,,,,Pulte Homes,
2071614820,Condo,2021,No Data,No Data,2 Parking spaces,,$620,2,3,2,,,,,,,," 1,551 sqft",,,2,"",,,,,,,,,Condo,,,,,,Yes,,,,Alameda,,,,,,,,,,,,,,,,Pulte Homes,
2071614822,Condo,2021,No Data,No Data,2 Parking spaces,,$593,2,3,3,,,,,,,," 1,714 sqft",,,2,"",,,,,,,,,Condo,,,,,,Yes,,,,Alameda,,,,,,,,,,,,,,,,Pulte Homes,
24865915,Townhouse,1968,Natural Gas,None,2 Garage spaces,$454 monthly,$585,2,2,1," Counter - Tile, Range/Oven Free Standing, Refrigerator"," Linoleum, Carpet",Natural Gas,None," Dryer, Washer, In Unit"," Tile Counters, Dining Area"," 1,280"," 1,280 sqft",1,Living Room,2," Garage Door Opener, Detached",2,2,Two Story,2,Community,Unit Faces Common Area,Level,Standard,Townhouse,Contemporary,Townhouse,Siding - Stucco," Composition Shingles,Tar/Gravel",Existing,No,1968,No Solar,,Alameda,CASITAS ALAMEDA,$454 monthly," Clubhouse, Playground, Pool"," Common Area Maint, Exterior Maintenance, Hazard Insurance, Management Fee, Reserves, Water/Sewer",NOT LISTED,925-901-0225,$749K - $749K," Cash,Conventional"," Dryer, Washer, Gas Water Heater, Free-Standing Range, Refrigerator",Patio,Public Sewer,,,,,,
2071614828,Condo,2021,No Data,No Data,2 Parking spaces,,$635,3,2,2,,,,,,,," 1,506 sqft",,,2,"",,,,,,,,,Condo,,,,,,Yes,,,,Alameda,,,,,,,,,,,,,,,,Pulte Homes,
2072198924,Condominium,2021,"Electric, Zoned",Zoned,1 Garage space,$565 monthly,$716,2,2,2," Counter - Stone, Dishwasher, Electric Range/Cooktop, Garbage Disposal, Island, Microwave, Oven Built-in"," Tile, Vinyl, Carpet"," Electric, Zoned",Zoned," Hookups Only, Laundry Closet, In Unit"," Stone Counters, Kitchen Island, Dining Area, Smart Thermostat, Elevator"," 1,305"," 1,305 sqft",0,None,1," Garage Door Opener, Garage, Int Access From Garage, Private",1,1," One Story,One",1,None,Unit Faces Street,No Lot,Standard,Condo,Modern/High Tech,Condominium,Stucco,Other,Under Construction,Yes,2021,Other Solar,Public,Alameda,ALAMEDA LANDING,$565 monthly," Roof Deck, Guest Parking, Park, See Remarks"," Common Area Maint, Exterior Maintenance, Management Fee, Reserves, Other",NOT LISTED,925-495-6203,$934K - $934K," Cash,Conventional,VA Loan"," Electric Water Heater, Solar Hot Water, Dishwasher, Electric Range, Disposal, Microwave, Oven",Roof Deck,Public Sewer," Fire Alarm, Fire Sprinkler System, Carbon Monoxide Detector(s), Secured Access, Smoke Detector(s)",Weather Stripping," Disabled Bath Feat, Disabled Kit Feat, Accessible Elevator Installed, Halls/Doors - 3 Ft Wide, Other",Partial,Pulte Homes,No Steps to Entry
2071614827,SingleFamily,2021,No Data,No Data,2 Parking spaces,,$575,4,4,3,,,,,,,," 2,377 sqft",,,2,"",,,,,,,,,SingleFamily,,,,,,Yes,,,,Alameda,,,,,,,,,,,,,,,,Pulte Homes,
299075119,Quadruplex,1914,"Floor Furnace, Other",No Air Conditioning,6 Garage spaces,,$396,4,4,,," Hardwood, Linoleum, Tile"," Floor Furnace, Other",No Air Conditioning,,Storage," 3,812"," 3,812 sqft",,,6," Detached, Assigned, Space Per Unit - 1, Garage Faces Rear, Side By Side, Uncovered Parking Space, Uncovered Park Spaces 2+, 4-7 Cars",,,,,,," Regular, Other",Successor Trustee Sale,MultiFamily,,Quadruplex,Other," Other,Composition",,,1914,No Solar,Public,Alameda,,,,,,,$1.5M - $1.5M," Cash,Conventional,1031 Exchange",Gas Water Heater,,," Carbon Monoxide Detector(s), Smoke Detector(s)",,,,,
2071614816,Townhouse,2021,No Data,No Data,1 Parking space,,$751,2,2,1,,,,,,,," 1,066 sqft",,,1,"",,,,,,,,,Townhouse,,,,,,Yes,,,,Alameda,,,,,,,,,,,,,,,,Pulte Homes,
24856444,Detached,1961,Forced Air,None,"Off Street, Other",,$874,2,1,1," Counter - Solid Surface, Dishwasher, Garbage Disposal, Refrigerator, Other"," Hardwood, Carpet",Forced Air,None,Laundry Closet," Counter - Solid Surface, Bonus/Plus Room, Dining Area"," 1,131"," 1,131 sqft",1,Living Room,," Off Street, Other",,,One Story,1,None,,Level,Standard,SingleFamily,Contemporary,Detached,Stucco,Composition Shingles,Existing,No,1961,No Solar,Public,Alameda,EAST END,,,,,,$989K - $989K,Conventional," Dishwasher, Disposal, Refrigerator",,Public Sewer," Carbon Monoxide Detector(s), Double Strapped Water Heater, Smoke Detector(s)",,,,,
24861529,Detached,1938,Forced Air,Central Air,3 Garage spaces,,$669,4,4,4," Counter - Solid Surface, Dishwasher, Garbage Disposal, Gas Range/Cooktop, Refrigerator, Updated Kitchen"," Hardwood, Tile",Forced Air,Central Air,In Unit," Counter - Solid Surface, Updated Kitchen, Family Room"," 3,739"," 3,739 sqft",3,Living Room,3," Garage Door Opener, Detached, Off Street, Remote",3,3,Two Story,2,None," Back Yard, Front Yard, Sprinklers Automatic, Sprinklers Front, Storage, Landscape Back, Landscape Front"," Corner Lot, Premium Lot",Standard,SingleFamily,Custom,Detached," Stucco, Wood Siding",Composition Shingles,Existing,No,1938,No Solar,,Alameda,CENTRAL ALAMEDA,,,,,,$2.5M - $2.5M," Cash,Conventional"," Dryer, Washer, Gas Water Heater, Dishwasher, Disposal, Gas Range, Refrigerator"," Deck, Patio",Public Sewer," Carbon Monoxide Detector(s), Unguarded Gate",,,,,
24861373,Detached,1891,"Zoned, Natural Gas",None,"Off Street, No Garage",,$639,4,2,2," Counter - Laminate, Dishwasher, Eat In Kitchen, Gas Range/Cooktop, Range/Oven Free Standing, Refrigerator"," Laminate, Linoleum, Vinyl, Carpet, Wood"," Zoned, Natural Gas",None,In Basement," Laminate Counters, Eat-in Kitchen, Bonus/Plus Room, Workshop"," 2,173"," 2,173 sqft",1," Brick, Decorative, Dining Room",," Off Street, No Garage",,,Two Story,2,None," Back Yard, Front Yard, Storage, Landscape Back, Landscape Front, Garden"," Level, Regular, Landscape Back, Landscape Front",Standard,SingleFamily,Victorian,Detached," Wood Siding, Frame",Composition Shingles,Existing,No,1891,No Solar,Public,Alameda,CENTRAL ALAMEDA,,,,,,$1.4M - $1.4M," Cash,Conventional"," Gas Water Heater, Dishwasher, Gas Range, Free-Standing Range, Refrigerator"," Patio, Front Porch, Porch Steps",Public Sewer,Smoke Detector(s),Window Coverings,,,A.W.Pattiani,
24869266,Condominium,1972,No Data,No Data,2 Attached Garage spaces,$567 monthly,$546,2,2,2,," Carpet, Tile",,,Other,," 1,043"," 1,043 sqft",1,Living Room,2," Attached, Independent, On Site - Mapped (Condo Only)",,,,,Community,Balcony,,Standard,Condo,Contemporary,Condominium,,,,,1972,,Public,Alameda,,$567 monthly," Gym, Pool"," Common Areas, Homeowners Insurance, Maintenance Structure, Maintenance Grounds, Management, Pool, Recreation Facility, Trash, Water",South Shore Beach & Tennis,925-827-2200,$569K - $569K," Cash,Conventional",,,Public Sewer,,,,,,
2113989770,Detached,1925,Wall Furnace,No Air Conditioning,1 Garage space,,$996,2,1,1," Dishwasher, Electric Range/Cooktop, Refrigerator, Updated Kitchen"," Hardwood, Tile, Cork",Wall Furnace,No Air Conditioning," Dryer, In Garage, Washer"," Updated Kitchen, Dining Area",802,802 sqft,1,Living Room,1," Detached, Off Street",1,1,One Story,1,None,,Regular,Standard,SingleFamily,Bungalow,Detached,Brick,Composition Shingles,Existing,No,1925,No Solar,Public,Alameda,WEST END,,,,,,$799K - $799K," Cash,Conventional"," Dryer, Washer, Tankless Water Heater, Dishwasher, Electric Range, Refrigerator",Deck,Public Sewer,,,,,,
2071614821,Townhouse,2021,No Data,No Data,2 Parking spaces,,$740,2,2,1,,,,,,,," 1,138 sqft",,,2,"",,,,,,,,,Townhouse,,,,,,Yes,,,,Alameda,,,,,,,,,,,,,,,,Pulte Homes,
24857603,Detached,1930,Forced Air,None,"Off Street, Other",$5 annually,$650,3,2,2," 220 Volt Outlet, Counter - Tile, Dishwasher, Eat In Kitchen, Garbage Disposal, Gas Range/Cooktop, Microwave, Refrigerator, Self-Cleaning Oven, Updated Kitchen"," Tile, Carpet, Wood",Forced Air,None," 220 Volt Outlet, Dryer, Gas Dryer Hookup, Washer"," Tile Counters, Eat-in Kitchen, Updated Kitchen, Bonus/Plus Room, Dining Area"," 2,146"," 2,146 sqft",2," Family Room, Gas Starter",," Off Street, Other",,,Multi/Split,,None," Back Yard, Front Yard, Side Yard, Landscape Front",Regular,Standard,SingleFamily,Mediterranean,Detached,Stucco," Tar/Gravel,Tile",Existing,No,1930," No Solar, 220 Volts in Kitchen",Public,Alameda,FERNSIDE,$5 annually,Other,None,FERNSIDE HOA,510-679-1234,$1.4M - $1.4M,Conventional," Dryer, Washer, Gas Water Heater, Dishwasher, Disposal, Gas Range, Microwave, Refrigerator, Self Cleaning Oven",,Public Sewer,,Window Coverings,None,,,
24856386,Detached,1927,"Forced Air, Natural Gas",None,1 Garage space,,$719,3,2,1," Breakfast Nook, Counter - Solid Surface, Dishwasher, Electric Range/Cooktop, Range/Oven Free Standing, Self-Cleaning Oven, Updated Kitchen"," Hardwood, Tile"," Forced Air, Natural Gas",None," Dryer, In Basement, Washer, Cabinets"," Breakfast Nook, Counter - Solid Surface, Updated Kitchen, Dining Area, Formal Dining Room, Office"," 1,384"," 1,384 sqft",1," Decorative, Living Room",1," Garage Door Opener, Detached",1,1,Multi/Split,,None," Back Yard, Backyard"," Corner Lot, Level, Regular, Front Yard, Landscape Back, Landscape Front",Standard,SingleFamily,Art Deco,Detached,Stucco," Composition Shingles,Tile",Existing,No,1927,No Solar,Public,Alameda,EAST END,,,,,,$995K - $995K," Cash,Conventional"," Gas Water Heater, Dishwasher, Electric Range, Free-Standing Range, Self Cleaning Oven",,Public Sewer," Carbon Monoxide Detector(s), Smoke Detector(s)",,,,,
2073521511,Townhouse,2021,No Data,No Data,0 spaces,,$614,3,3,2,,,,,,,," 1,767 sqft",,,,,,,,,,,,,Townhouse,,,,,,Yes,,,,Alameda,,,,,,,,,,,,,,,,Trumark Homes,
2071614829,Condo,2021,No Data,No Data,1 Parking space,,$652,2,2,2,,,,,,,," 1,305 sqft",,,1,"",,,,,,,,,Condo,,,,,,Yes,,,,Alameda,,,,,,,,,,,,,,,,Pulte Homes,
